,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V21,0.36666666666666664,0.38166666666666665,0.49333333333333335,0.37833333333333335,0.49333333333333335,0.26666666666666666,0.385,0.4716666666666667,0.028333333333333332,0.48833333333333334,0.4666666666666667,0.48,0.175,0.20833333333333334,0.475,0.49333333333333335,0.305,0.46166666666666667,0.4633333333333333,0.47333333333333333,0.495,0.49833333333333335,0.35,0.48833333333333334,0.4766666666666667,0.475,0.46166666666666667,0.49666666666666665,0.47833333333333333,0.485,0.4816666666666667,0.46166666666666667,0.465,0.48833333333333334,0.47,0.4666666666666667,0.46,0.4816666666666667,0.4683333333333333,0.0,0.45166666666666666,0.48333333333333334,0.495,0.4716666666666667,0.4766666666666667,0.48833333333333334,0.4866666666666667,0.4816666666666667,0.49333333333333335,0.4716666666666667
V22,0.48833333333333334,0.4766666666666667,0.2916666666666667,0.4166666666666667,0.49666666666666665,0.4816666666666667,0.44,0.4033333333333333,0.46166666666666667,0.49,0.5,0.48833333333333334,0.48333333333333334,0.46166666666666667,0.49,0.4533333333333333,0.49,0.47333333333333333,0.475,0.495,0.4816666666666667,0.495,0.475,0.49833333333333335,0.47,0.47833333333333333,0.49,0.465,0.49833333333333335,0.5,0.49333333333333335,0.4766666666666667,0.4666666666666667,0.485,0.4583333333333333,0.47833333333333333,0.4816666666666667,0.49333333333333335,0.495,0.4716666666666667,0.485,0.49166666666666664,0.49833333333333335,0.4766666666666667,0.49,0.485,0.4716666666666667,0.475,0.49166666666666664,0.485
V23,0.5,0.31166666666666665,0.49333333333333335,0.42333333333333334,0.49333333333333335,0.49833333333333335,0.4583333333333333,0.49,0.18666666666666668,0.3416666666666667,0.49,0.4766666666666667,0.4716666666666667,0.485,0.4866666666666667,0.4866666666666667,0.48833333333333334,0.43,0.44333333333333336,0.48,0.37166666666666665,0.43833333333333335,0.37166666666666665,0.475,0.49166666666666664,0.4816666666666667,0.3466666666666667,0.49333333333333335,0.5,0.49166666666666664,0.475,0.5,0.28833333333333333,0.49666666666666665,0.49333333333333335,0.4866666666666667,0.4866666666666667,0.49833333333333335,0.465,0.415,0.465,0.475,0.49,0.48333333333333334,0.4683333333333333,0.47,0.49166666666666664,0.4866666666666667,0.49,0.485
V24,0.4816666666666667,0.4866666666666667,0.37166666666666665,0.4066666666666667,0.4866666666666667,0.4033333333333333,0.485,0.49833333333333335,0.36666666666666664,0.47333333333333333,0.46,0.4583333333333333,0.4583333333333333,0.46166666666666667,0.47833333333333333,0.48833333333333334,0.465,0.485,0.4683333333333333,0.49666666666666665,0.4816666666666667,0.49666666666666665,0.4033333333333333,0.5,0.48333333333333334,0.4633333333333333,0.47833333333333333,0.4683333333333333,0.45,0.45666666666666667,0.495,0.4683333333333333,0.4716666666666667,0.4816666666666667,0.47,0.45,0.495,0.475,0.475,0.5,0.48833333333333334,0.4816666666666667,0.49166666666666664,0.47,0.45166666666666666,0.49666666666666665,0.48,0.44,0.49166666666666664,0.5
V25,0.09,0.49333333333333335,0.39666666666666667,0.485,0.39,0.48833333333333334,0.345,0.5,0.485,0.4683333333333333,0.48333333333333334,0.4866666666666667,0.48,0.49666666666666665,0.47833333333333333,0.3333333333333333,0.4116666666666667,0.45,0.43166666666666664,0.4683333333333333,0.4683333333333333,0.485,0.485,0.47833333333333333,0.49666666666666665,0.48833333333333334,0.4216666666666667,0.4816666666666667,0.48833333333333334,0.4866666666666667,0.4816666666666667,0.405,0.445,0.485,0.49666666666666665,0.435,0.4633333333333333,0.495,0.49666666666666665,0.48833333333333334,0.47833333333333333,0.4683333333333333,0.47,0.49333333333333335,0.4766666666666667,0.49166666666666664,0.4683333333333333,0.49,0.44333333333333336,0.485
V26,0.47833333333333333,0.49833333333333335,0.49166666666666664,0.44333333333333336,0.495,0.25833333333333336,0.48333333333333334,0.495,0.3333333333333333,0.355,0.485,0.45666666666666667,0.47833333333333333,0.47333333333333333,0.4583333333333333,0.4533333333333333,0.49166666666666664,0.49333333333333335,0.495,0.49833333333333335,0.49666666666666665,0.48333333333333334,0.4583333333333333,0.48333333333333334,0.4816666666666667,0.48833333333333334,0.4716666666666667,0.49,0.48,0.445,0.495,0.4633333333333333,0.49166666666666664,0.47333333333333333,0.48,0.4816666666666667,0.49166666666666664,0.47,0.4766666666666667,0.48333333333333334,0.46166666666666667,0.48,0.495,0.49,0.485,0.495,0.4583333333333333,0.475,0.4666666666666667,0.44666666666666666
V27,0.4816666666666667,0.17166666666666666,0.49,0.3233333333333333,0.48333333333333334,0.49166666666666664,0.49666666666666665,0.47333333333333333,0.5,0.49833333333333335,0.5,0.48833333333333334,0.4633333333333333,0.49833333333333335,0.49166666666666664,0.47833333333333333,0.49166666666666664,0.31,0.3933333333333333,0.49833333333333335,0.47833333333333333,0.475,0.4666666666666667,0.485,0.4766666666666667,0.47833333333333333,0.4716666666666667,0.47333333333333333,0.4766666666666667,0.47833333333333333,0.495,0.43666666666666665,0.48,0.48833333333333334,0.48833333333333334,0.485,0.48,0.4816666666666667,0.49333333333333335,0.495,0.475,0.48833333333333334,0.475,0.49166666666666664,0.475,0.49333333333333335,0.49166666666666664,0.47833333333333333,0.4583333333333333,0.4533333333333333
V28,0.415,0.2816666666666667,0.4533333333333333,0.49333333333333335,0.345,0.48833333333333334,0.4766666666666667,0.48,0.495,0.47833333333333333,0.44166666666666665,0.49166666666666664,0.26666666666666666,0.345,0.47333333333333333,0.49666666666666665,0.31666666666666665,0.49333333333333335,0.42,0.31333333333333335,0.4816666666666667,0.4583333333333333,0.4583333333333333,0.4683333333333333,0.49333333333333335,0.4766666666666667,0.47833333333333333,0.49,0.4633333333333333,0.495,0.48833333333333334,0.35333333333333333,0.49,0.49333333333333335,0.49,0.485,0.48333333333333334,0.46166666666666667,0.49833333333333335,0.5,0.48833333333333334,0.485,0.4683333333333333,0.4866666666666667,0.4866666666666667,0.48,0.49,0.47333333333333333,0.46166666666666667,0.4816666666666667
V29,0.475,0.215,0.4866666666666667,0.4633333333333333,0.46,0.4866666666666667,0.4816666666666667,0.4683333333333333,0.5,0.47833333333333333,0.47,0.45666666666666667,0.4716666666666667,0.455,0.49166666666666664,0.5,0.49,0.22166666666666668,0.35833333333333334,0.46,0.47,0.48833333333333334,0.48,0.49833333333333335,0.48333333333333334,0.485,0.38666666666666666,0.49333333333333335,0.475,0.4816666666666667,0.4483333333333333,0.41,0.34,0.47333333333333333,0.4666666666666667,0.49666666666666665,0.49,0.485,0.49833333333333335,0.4683333333333333,0.485,0.48833333333333334,0.495,0.43166666666666664,0.495,0.49333333333333335,0.49333333333333335,0.49666666666666665,0.49833333333333335,0.49166666666666664
V30,0.25666666666666665,0.48833333333333334,0.4683333333333333,0.22166666666666668,0.49333333333333335,0.475,0.47833333333333333,0.4483333333333333,0.4683333333333333,0.465,0.2683333333333333,0.465,0.4766666666666667,0.48,0.15333333333333332,0.49166666666666664,0.47833333333333333,0.4716666666666667,0.49333333333333335,0.49166666666666664,0.48833333333333334,0.4716666666666667,0.48,0.48,0.46,0.45666666666666667,0.4633333333333333,0.495,0.48,0.4866666666666667,0.47333333333333333,0.47333333333333333,0.47833333333333333,0.47,0.4683333333333333,0.48,0.4533333333333333,0.48333333333333334,0.47,0.48,0.4766666666666667,0.49833333333333335,0.49166666666666664,0.48333333333333334,0.48833333333333334,0.4716666666666667,0.48833333333333334,0.49166666666666664,0.49,0.48333333333333334
V31,0.5,0.49833333333333335,0.36666666666666664,0.4583333333333333,0.495,0.495,0.47333333333333333,0.485,0.48833333333333334,0.48,0.5,0.19,0.4866666666666667,0.49333333333333335,0.49166666666666664,0.5,0.4666666666666667,0.49666666666666665,0.465,0.47,0.48333333333333334,0.49333333333333335,0.49166666666666664,0.48333333333333334,0.49666666666666665,0.49833333333333335,0.47833333333333333,0.4816666666666667,0.4683333333333333,0.4816666666666667,0.47333333333333333,0.4683333333333333,0.46166666666666667,0.49666666666666665,0.485,0.49333333333333335,0.49166666666666664,0.49666666666666665,0.49833333333333335,0.44333333333333336,0.47833333333333333,0.4766666666666667,0.48833333333333334,0.485,0.485,0.4683333333333333,0.49833333333333335,0.47333333333333333,0.495,0.45666666666666667
